"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2017","71.38","68.50","72.02","66.26","160.37M","4.63%"
"Sep 24, 2017","68.22","70.63","71.49","67.08","156.25M","-2.85%"
"Sep 17, 2017","70.22","76.05","77.92","70.18","156.68M","-7.56%"
"Sep 10, 2017","75.96","70.27","76.00","70.00","152.24M","10.60%"
"Sep 03, 2017","68.68","70.76","71.10","68.31","77.21M","-3.38%"
"Aug 27, 2017","71.08","69.46","71.69","67.75","91.86M","2.11%"
"Aug 20, 2017","69.61","69.16","71.33","66.37","119.20M","0.17%"
"Aug 13, 2017","69.49","72.93","73.53","69.16","107.27M","-2.91%"
"Aug 06, 2017","71.57","71.47","74.00","70.55","160.63M","0.27%"
"Jul 30, 2017","71.38","67.10","71.45","62.24","263.67M","6.52%"
"Jul 23, 2017","67.01","66.05","69.50","65.26","168.15M","2.02%"
"Jul 16, 2017","65.68","65.11","66.33","62.69","163.38M","0.18%"
"Jul 09, 2017","65.56","62.58","66.62","60.63","249.73M","4.66%"
"Jul 02, 2017","62.64","74.05","74.27","61.26","284.27M","-13.38%"
"Jun 25, 2017","72.32","77.34","77.39","70.82","169.86M","-5.70%"
"Jun 18, 2017","76.69","75.00","77.40","73.56","164.43M","3.24%"
"Jun 11, 2017","74.28","71.60","76.85","70.12","261.51M","3.95%"
"Jun 04, 2017","71.46","67.70","75.37","66.84","267.96M","5.13%"
"May 28, 2017","67.97","65.20","68.98","65.15","154.72M","4.52%"
"May 21, 2017","65.03","62.56","65.10","60.70","132.53M","4.60%"
"May 14, 2017","62.17","63.68","64.04","61.06","144.14M","-4.29%"
"May 07, 2017","64.96","62.18","65.40","61.16","156.50M","5.33%"
"Apr 30, 2017","61.67","62.98","65.53","58.15","218.38M","-1.82%"
"Apr 23, 2017","62.81","61.84","62.96","61.17","122.45M","2.77%"
"Apr 16, 2017","61.12","60.54","61.83","59.58","108.66M","0.53%"
"Apr 09, 2017","60.80","61.83","62.75","59.06","143.62M","0.48%"
"Apr 02, 2017","60.51","57.38","60.98","56.92","210.02M","8.71%"
"Mar 26, 2017","55.66","52.12","56.40","51.95","126.69M","5.76%"
"Mar 19, 2017","52.63","52.12","52.96","50.05","117.75M","0.63%"
"Mar 12, 2017","52.30","48.96","53.15","48.56","147.91M","7.30%"
"Mar 05, 2017","48.74","49.58","50.78","48.60","87.45M","-3.12%"
"Feb 26, 2017","50.31","49.63","50.97","48.40","143.15M","-2.12%"
"Feb 19, 2017","51.40","55.09","56.69","50.04","187.59M","-5.60%"
